TRANSACTION_ID,ACCOUNT_NUMBER,AMOUNT,TRANSACTION_TYPE,TXN_DATE,STATUS,BANK_NAME
TXN000136,ACC000542,81285.64,credit,2026-03-31,failed,HDFC
TXN000137,ACC000799,39252.81,debit,2026-03-31,success,ICICI
TXN000138,ACC000955,17806.22,credit,2026-03-31,success,AXIS
TXN000139,ACC000165,74911.07,debit,2026-03-31,success,KOTAK
TXN000140,ACC000078,40492.3,credit,2026-03-31,failed,SBI
TXN000141,ACC000037,51240.76,debit,2026-03-31,success,HDFC
TXN000142,ACC000100,82090.23,credit,2026-03-31,success,ICICI
TXN000143,ACC000648,40946.92,debit,2026-03-31,success,AXIS
TXN000144,ACC000410,48091.12,credit,2026-03-31,failed,KOTAK
TXN000145,ACC000482,59557.93,debit,2026-03-31,success,SBI
TXN000146,ACC000545,58661.05,credit,2026-03-31,success,HDFC
TXN000147,ACC000370,82137.39,debit,2026-03-31,success,ICICI
TXN000148,ACC000822,99646.27,credit,2026-03-31,failed,AXIS
TXN000149,ACC000494,30206.79,debit,2026-03-31,success,KOTAK
TXN000150,ACC000045,63231.24,credit,2026-03-31,success,SBI
TXN000151,ACC000784,92999.2,debit,2026-03-31,success,HDFC
TXN000152,ACC000425,40169.87,credit,2026-03-31,failed,ICICI
TXN000153,ACC000593,90504.72,debit,2026-03-31,success,AXIS
TXN000154,ACC000327,28799.16,credit,2026-03-31,success,KOTAK
TXN000155,ACC000597,63535.31,debit,2026-03-31,success,SBI
TXN000156,ACC000923,46097.94,credit,2026-03-31,failed,HDFC
TXN000157,ACC000618,28299.29,debit,2026-03-31,success,ICICI
TXN000158,ACC000330,96052.72,credit,2026-03-31,success,AXIS
TXN000159,ACC000476,93545.01,debit,2026-03-31,success,KOTAK
TXN000160,ACC000439,22414.21,credit,2026-03-31,failed,SBI
TXN000161,ACC000696,60289.49,debit,2026-03-31,success,HDFC
TXN000162,ACC000612,31030.95,credit,2026-03-31,success,ICICI
TXN000163,ACC000613,36484.65,debit,2026-03-31,success,AXIS
TXN000164,ACC000809,29398.06,credit,2026-03-31,failed,KOTAK
TXN000165,ACC000693,117.29,debit,2026-03-31,success,SBI
TXN000166,ACC000809,94902.89,credit,2026-03-31,success,HDFC
TXN000167,ACC000679,50337.93,debit,2026-03-31,success,ICICI
TXN000168,ACC000805,63009.8,credit,2026-03-31,failed,AXIS
TXN000169,ACC000417,42765.0,debit,2026-03-31,success,KOTAK
TXN000170,ACC000108,24599.46,credit,2026-03-31,success,SBI
TXN000171,ACC000044,33320.57,debit,2026-03-31,success,HDFC
TXN000172,ACC000940,10064.95,credit,2026-03-31,failed,ICICI
TXN000173,ACC000877,87527.76,debit,2026-03-31,success,AXIS
TXN000174,ACC000547,84516.75,credit,2026-03-31,success,KOTAK
TXN000175,ACC000756,26246.17,debit,2026-03-31,success,SBI
TXN000176,ACC000220,19155.28,credit,2026-03-31,failed,HDFC
TXN000177,ACC000903,65649.19,debit,2026-03-31,success,ICICI
TXN000178,ACC000941,39736.32,credit,2026-03-31,success,AXIS
TXN000179,ACC000294,23524.18,debit,2026-03-31,success,KOTAK
TXN000180,ACC000694,28697.41,credit,2026-03-31,failed,SBI
TXN000181,ACC000905,13712.99,debit,2026-03-31,success,HDFC
TXN000182,ACC000237,27629.64,credit,2026-03-31,success,ICICI
TXN000183,ACC000138,72873.44,debit,2026-03-31,success,AXIS
TXN000184,ACC000091,3608.83,credit,2026-03-31,failed,KOTAK
TXN000185,ACC000709,43820.33,debit,2026-03-31,success,SBI
TXN000186,ACC000206,51987.79,credit,2026-03-31,success,HDFC
TXN000187,ACC000268,38057.67,debit,2026-03-31,success,ICICI
TXN000188,ACC000323,57443.95,credit,2026-03-31,failed,AXIS
TXN000189,ACC000478,15932.19,debit,2026-03-31,success,KOTAK
TXN000190,ACC000155,36987.99,credit,2026-03-31,success,SBI
TXN000191,ACC000626,2992.4,debit,2026-03-31,success,HDFC
TXN000192,ACC000484,59755.88,credit,2026-03-31,failed,ICICI
TXN000193,ACC000656,75099.66,debit,2026-03-31,success,AXIS
TXN000194,ACC000346,97294.12,credit,2026-03-31,success,KOTAK
TXN000195,ACC000737,50030.11,debit,2026-03-31,success,SBI
TXN000196,ACC000916,32267.48,credit,2026-03-31,failed,HDFC
TXN000197,ACC000563,34491.45,debit,2026-03-31,success,ICICI
TXN000198,ACC000521,18255.46,credit,2026-03-31,success,AXIS
TXN000199,ACC000061,3196.8,debit,2026-03-31,success,KOTAK
TXN000200,ACC000135,58721.52,credit,2026-03-31,failed,SBI
